Date : 2023-06-12 21:29:54
Directory : c:\Users\oguzk\Documents\GitHub\biren
Total : 110 files,  5891 codes, 393 comments, 664 blanks, all 6948 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| android\app\src\main\res\values                                                                                      |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                                |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night-v31                                                                            |          1 |         12 |          7 |          1 |         20 |
| android\app\src\main\res\values-v31                                                                                  |          1 |         12 |          7 |          1 |         20 |
| android\app\src\profile                                                                                              |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                       |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                               |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                               |          3 |        638 |          0 |          0 |        638 |
| assets\jsons                                                                                                         |          3 |        638 |          0 |          0 |        638 |
| assets\jsons\lang                                                                                                    |          1 |         37 |          0 |          0 |         37 |
| assets\jsons\study                                                                                                   |          2 |        601 |          0 |          0 |        601 |
| ios                                                                                                                  |          9 |        257 |          4 |         14 |        275 |
| ios\Runner                                                                                                           |          8 |        250 |          2 |         10 |        262 |
| ios\Runner (Files)                                                                                                   |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                      |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                           |          4 |        169 |          0 |          5 |        174 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                        |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                                 |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                      |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                                                  |         77 |      4,538 |        274 |        565 |      5,377 |
| lib (Files)                                                                                                          |          1 |         78 |          0 |          6 |         84 |
| lib\features                                                                                                         |         46 |      2,749 |        223 |        354 |      3,326 |
| lib\features\admin                                                                                                   |         30 |      1,741 |        190 |        218 |      2,149 |
| lib\features\admin\service                                                                                           |          1 |         31 |          0 |          5 |         36 |
| lib\features\admin\view                                                                                              |         25 |      1,638 |        172 |        180 |      1,990 |
| lib\features\admin\view (Files)                                                                                      |          1 |         48 |          0 |          7 |         55 |
| lib\features\admin\view\announcement                                                                                 |          3 |        200 |          0 |         21 |        221 |
| lib\features\admin\view\class                                                                                        |          2 |        255 |          0 |         21 |        276 |
| lib\features\admin\view\exams                                                                                        |          2 |         69 |          0 |          9 |         78 |
| lib\features\admin\view\homework                                                                                     |          8 |        449 |        171 |         63 |        683 |
| lib\features\admin\view\homework (Files)                                                                             |          5 |        352 |        144 |         40 |        536 |
| lib\features\admin\view\homework\mixin                                                                               |          3 |         97 |         27 |         23 |        147 |
| lib\features\admin\view\students                                                                                     |          9 |        617 |          1 |         59 |        677 |
| lib\features\admin\view\students (Files)                                                                             |          5 |        501 |          1 |         40 |        542 |
| lib\features\admin\view\students\mixin                                                                               |          4 |        116 |          0 |         19 |        135 |
| lib\features\admin\viewmodel                                                                                         |          4 |         72 |         18 |         33 |        123 |
| lib\features\auth                                                                                                    |          7 |        447 |         27 |         76 |        550 |
| lib\features\auth\login                                                                                              |          3 |        178 |         13 |         33 |        224 |
| lib\features\auth\login\view                                                                                         |          1 |        120 |          1 |         16 |        137 |
| lib\features\auth\login\viewmodel                                                                                    |          2 |         58 |         12 |         17 |         87 |
| lib\features\auth\register                                                                                           |          3 |        173 |         13 |         33 |        219 |
| lib\features\auth\register\view                                                                                      |          1 |        136 |          1 |         18 |        155 |
| lib\features\auth\register\viewmodel                                                                                 |          2 |         37 |         12 |         15 |         64 |
| lib\features\auth\service                                                                                            |          1 |         96 |          1 |         10 |        107 |
| lib\features\home                                                                                                    |          6 |        496 |          6 |         50 |        552 |
| lib\features\home\view                                                                                               |          4 |        484 |          1 |         40 |        525 |
| lib\features\home\view (Files)                                                                                       |          1 |        246 |          0 |         16 |        262 |
| lib\features\home\view\homeworks                                                                                     |          3 |        238 |          1 |         24 |        263 |
| lib\features\home\viewmodel                                                                                          |          2 |         12 |          5 |         10 |         27 |
| lib\features\loading                                                                                                 |          1 |         13 |          0 |          3 |         16 |
| lib\features\reject                                                                                                  |          1 |         12 |          0 |          3 |         15 |
| lib\features\wait                                                                                                    |          1 |         40 |          0 |          4 |         44 |
| lib\gen                                                                                                              |          1 |        100 |         21 |         31 |        152 |
| lib\product                                                                                                          |         29 |      1,611 |         30 |        174 |      1,815 |
| lib\product\base                                                                                                     |          2 |         41 |          1 |         11 |         53 |
| lib\product\base\model                                                                                               |          1 |          6 |          0 |          3 |          9 |
| lib\product\base\view                                                                                                |          1 |         35 |          1 |          8 |         44 |
| lib\product\constants                                                                                                |          1 |          4 |          1 |          2 |          7 |
| lib\product\enum                                                                                                     |          3 |         17 |          0 |          5 |         22 |
| lib\product\gen                                                                                                      |          1 |        102 |         22 |         32 |        156 |
| lib\product\init                                                                                                     |          5 |        129 |          4 |         15 |        148 |
| lib\product\init\lang                                                                                                |          2 |         42 |          2 |          8 |         52 |
| lib\product\init\theme                                                                                               |          2 |         78 |          2 |          5 |         85 |
| lib\product\init\validation                                                                                          |          1 |          9 |          0 |          2 |         11 |
| lib\product\model                                                                                                    |          3 |         75 |          2 |         13 |         90 |
| lib\product\widget                                                                                                   |         14 |      1,243 |          0 |         96 |      1,339 |
| lib\product\widget\admin                                                                                             |          2 |        115 |          0 |         11 |        126 |
| lib\product\widget\button                                                                                            |          3 |         87 |          0 |         13 |        100 |
| lib\product\widget\card                                                                                              |          6 |        825 |          0 |         55 |        880 |
| lib\product\widget\drawer                                                                                            |          1 |         95 |          0 |          5 |        100 |
| lib\product\widget\text_field                                                                                        |          2 |        121 |          0 |         12 |        133 |
| test                                                                                                                 |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                  |          2 |        133 |         16 |         16 |        165 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                             | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\oguzk\Documents\GitHub\biren\README.md                                                                      | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\oguzk\Documents\GitHub\biren\analysis_options.yaml                                                          | YAML       |          3 |         23 |          4 |         30 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\build.gradle                                                       | Groovy     |         57 |          5 |         14 |         76 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\google-services.json                                               | JSON       |         39 |          0 |          0 |         39 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\debug\AndroidManifest.xml                                      | XML        |          4 |          4 |          1 |          9 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\AndroidManifest.xml                                       | XML        |         29 |          4 |          1 |         34 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\drawable-v21\launch_background.xml                    | XML        |          9 |          0 |          1 |         10 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\drawable\launch_background.xml                        | XML        |          9 |          0 |          1 |         10 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values-night-v31\styles.xml                           | XML        |         12 |          7 |          1 |         20 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values-night\styles.xml                               | XML        |         13 |          9 |          1 |         23 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values-v31\styles.xml                                 | XML        |         12 |          7 |          1 |         20 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values\styles.xml                                     | XML        |         13 |          9 |          1 |         23 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\profile\AndroidManifest.xml                                    | XML        |          4 |          4 |          1 |          9 |
| c:\Users\oguzk\Documents\GitHub\biren\android\build.gradle                                                           | Groovy     |         29 |          0 |          5 |         34 |
| c:\Users\oguzk\Documents\GitHub\biren\android\gradle.properties                                                      | Properties |          3 |          0 |          1 |          4 |
| c:\Users\oguzk\Documents\GitHub\biren\android\gradle\wrapper\gradle-wrapper.properties                               | Properties |          5 |          0 |          1 |          6 |
| c:\Users\oguzk\Documents\GitHub\biren\android\settings.gradle                                                        | Groovy     |          8 |          0 |          4 |         12 |
| c:\Users\oguzk\Documents\GitHub\biren\assets\jsons\lang\tr-TR.json                                                   | JSON       |         37 |          0 |          0 |         37 |
| c:\Users\oguzk\Documents\GitHub\biren\assets\jsons\study\lessons.json                                                | JSON       |        589 |          0 |          0 |        589 |
| c:\Users\oguzk\Documents\GitHub\biren\assets\jsons\study\subjects.json                                               | JSON       |         12 |          0 |          0 |         12 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\RunnerTests\RunnerTests.swift                                              | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\AppDelegate.swift                                                   | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                    | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json             | JSON       |         21 |          0 |          1 |         22 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                  | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                      | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Base.lproj\LaunchScreen.storyboard                                  | XML        |         43 |          1 |          1 |         45 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Base.lproj\Main.storyboard                                          | XML        |         25 |          1 |          1 |         27 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Runner-Bridging-Header.h                                            | C++        |          1 |          0 |          1 |          2 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\service\announcement_service.dart                           | Dart       |         31 |          0 |          5 |         36 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\admin_home_view.dart                                   | Dart       |         48 |          0 |          7 |         55 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\announcement\add_announcement_view.dart                | Dart       |        146 |          0 |         11 |        157 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\announcement\announcement_history_view.dart            | Dart       |         11 |          0 |          4 |         15 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\announcement\announcements_view.dart                   | Dart       |         43 |          0 |          6 |         49 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\class\class_detail_view.dart                           | Dart       |         17 |          0 |          5 |         22 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\class\classes_view.dart                                | Dart       |        238 |          0 |         16 |        254 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\enter_exams_view.dart                            | Dart       |          8 |          0 |          3 |         11 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\exams_view.dart                                  | Dart       |         61 |          0 |          6 |         67 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\all_homework_view.dart                        | Dart       |         37 |          0 |          5 |         42 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\create_homework_view.dart                     | Dart       |        187 |        144 |         19 |        350 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\homework_search_view.dart                     | Dart       |         19 |          0 |          3 |         22 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\homework_view.dart                            | Dart       |         61 |          0 |          6 |         67 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\incoming_homeworks_view.dart                  | Dart       |         48 |          0 |          7 |         55 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\mixin\all_homeworks_operation_mixin.dart      | Dart       |          8 |          0 |          2 |         10 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\mixin\create_homework_operation_mixin.dart    | Dart       |         81 |         27 |         19 |        127 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\mixin\incoming_homeworks_operation_mixin.dart | Dart       |          8 |          0 |          2 |         10 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\accepted_students_view.dart                   | Dart       |         57 |          0 |          6 |         63 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\login_accept_view.dart                        | Dart       |        143 |          0 |          9 |        152 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\login_requiest_view.dart                      | Dart       |        119 |          0 |          6 |        125 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\accepted_students_operation_mixin.dart  | Dart       |         32 |          0 |          4 |         36 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\login_accept_operation_mixin.dart       | Dart       |         34 |          0 |          5 |         39 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\login_requiest_operation_mixin.dart     | Dart       |         21 |          0 |          4 |         25 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\student_edit_operation_mixin.dart       | Dart       |         29 |          0 |          6 |         35 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\student_edit_view.dart                        | Dart       |        139 |          1 |         13 |        153 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\students_view.dart                            | Dart       |         43 |          0 |          6 |         49 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\viewmodel\add_announcement_viewmodel.dart                   | Dart       |         17 |          1 |          8 |         26 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\viewmodel\add_announcement_viewmodel.g.dart                 | Dart       |         42 |          5 |         13 |         60 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\viewmodel\admin_home_viewmodel.dart                         | Dart       |          5 |          7 |          6 |         18 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\viewmodel\admin_home_viewmodel.g.dart                       | Dart       |          8 |          5 |          6 |         19 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\login\view\login_view.dart                                   | Dart       |        120 |          1 |         16 |        137 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\login\viewmodel\login_viewmodel.dart                         | Dart       |         28 |          7 |          8 |         43 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\login\viewmodel\login_viewmodel.g.dart                       | Dart       |         30 |          5 |          9 |         44 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\register\view\register_view.dart                             | Dart       |        136 |          1 |         18 |        155 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\register\viewmodel\register_viewmodel.dart                   | Dart       |         17 |          7 |          7 |         31 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\register\viewmodel\register_viewmodel.g.dart                 | Dart       |         20 |          5 |          8 |         33 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\service\auth_service.dart                                    | Dart       |         96 |          1 |         10 |        107 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\view\home_view.dart                                          | Dart       |        246 |          0 |         16 |        262 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\view\homeworks\check_homework_view.dart                      | Dart       |        144 |          1 |         15 |        160 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\view\homeworks\homeworks_view.dart                           | Dart       |         49 |          0 |          5 |         54 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\view\homeworks\pushed_homeworks_view.dart                    | Dart       |         45 |          0 |          4 |         49 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\viewmodel\home_viewmodel.dart                                | Dart       |          4 |          0 |          4 |          8 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\viewmodel\home_viewmodel.g.dart                              | Dart       |          8 |          5 |          6 |         19 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\loading\loading_view.dart                                         | Dart       |         13 |          0 |          3 |         16 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\reject\rejected_view.dart                                         | Dart       |         12 |          0 |          3 |         15 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\wait\waiting_view.dart                                            | Dart       |         40 |          0 |          4 |         44 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\gen\assets.gen.dart                                                        | Dart       |        100 |         21 |         31 |        152 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\main.dart                                                                  | Dart       |         78 |          0 |          6 |         84 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\base\model\base_view_model.dart                                    | Dart       |          6 |          0 |          3 |          9 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\base\view\base_view.dart                                           | Dart       |         35 |          1 |          8 |         44 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\constants\app_constants.dart                                       | Dart       |          4 |          1 |          2 |          7 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\admin_feature_types.dart                                      | Dart       |          6 |          0 |          1 |          7 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\cross_check_enum.dart                                         | Dart       |          1 |          0 |          1 |          2 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\firebase_collection_enum.dart                                 | Dart       |         10 |          0 |          3 |         13 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\gen\assets.gen.dart                                                | Dart       |        102 |         22 |         32 |        156 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\lang\language_manager.dart                                    | Dart       |         11 |          0 |          5 |         16 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\lang\locale_keys.g.dart                                       | Dart       |         31 |          2 |          3 |         36 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\theme\light_theme_colors.dart                                 | Dart       |         12 |          0 |          2 |         14 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\theme\theme.dart                                              | Dart       |         66 |          2 |          3 |         71 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\validation\regex_validations.dart                             | Dart       |          9 |          0 |          2 |         11 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\model\announcement_card_model.dart                                 | Dart       |         15 |          0 |          3 |         18 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\model\homework_model.dart                                          | Dart       |         37 |          1 |          6 |         44 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\model\user_model.dart                                              | Dart       |         23 |          1 |          4 |         28 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\admin\admin_select_feature.dart                             | Dart       |         82 |          0 |          7 |         89 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\admin\cross_check_container.dart                            | Dart       |         33 |          0 |          4 |         37 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\button\done_action_button.dart                              | Dart       |         21 |          0 |          4 |         25 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\button\main_button.dart                                     | Dart       |         46 |          0 |          5 |         51 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\button\next_action_button.dart                              | Dart       |         20 |          0 |          4 |         24 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\admin_features_select_widget.dart                      | Dart       |         46 |          0 |          4 |         50 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\all_homework_card_large.dart                           | Dart       |        151 |          0 |         13 |        164 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\coming_homeworks_card.dart                             | Dart       |        249 |          0 |         12 |        261 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\homework_card_large.dart                               | Dart       |        205 |          0 |         11 |        216 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\homework_card_mini.dart                                | Dart       |         18 |          0 |          3 |         21 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\pushed_homework_card_large.dart                        | Dart       |        156 |          0 |         12 |        168 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\drawer\homework_drawer.dart                                 | Dart       |         95 |          0 |          5 |        100 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\text_field\auth_text_field.dart                             | Dart       |         71 |          0 |          8 |         79 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\text_field\main_text_field.dart                             | Dart       |         50 |          0 |          4 |         54 |
| c:\Users\oguzk\Documents\GitHub\biren\pubspec.yaml                                                                   | YAML       |         52 |         17 |         17 |         86 |
| c:\Users\oguzk\Documents\GitHub\biren\test\widget_test.dart                                                          | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\oguzk\Documents\GitHub\biren\web\index.html                                                                 | HTML       |         98 |         16 |         15 |        129 |
| c:\Users\oguzk\Documents\GitHub\biren\web\manifest.json                                                              | JSON       |         35 |          0 |          1 |         36 |
| Total                                                                                                                |            |      5,891 |        393 |        664 |      6,948 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
